status_id,retweet_count,favorite_count
892420643555336193,7329,34932
892177421306343426,5472,30249
891815181378084864,3620,22764
891689557279858688,7521,38197
891327558926688256,8088,36472
891087950875897856,2712,18400
890971913173991426,1752,10704
890729181411237888,16439,58835
890609185150312448,3763,25326
890240255349198849,6359,28893
890006608113172480,6390,27876
889880896479866881,4336,25337
889665388333682689,8708,43477
889638837579907072,3890,24447
889531135344209921,1963,13776
889278841981685760,4632,22825
888917238123831296,3900,26428
888804989199671297,3693,23201
888554962724278272,3004,17885
888078434458587136,3030,19778
887705289381826560,4707,27501
887517139158093824,10248,42067
887473957103951883,15654,62226
887343217045368832,9176,30497
887101392804085760,5200,27838
886983233522544640,6648,31512
886736880519319552,2762,10836
886680336477933568,3900,20410
886366144734445568,2756,19161
886267009285017600,3,107
886258384151887873,5503,25382
886054160059072513,96,0
885984800019947520,5851,29557
885528943205470208,5567,32612
885518971528720385,3252,18584
885311592912609280,16094,0
885167619883638784,3811,19858
884925521741709313,15716,69702
884876753390489601,4866,25233
884562892145688576,4090,22045
884441805382717440,4963,24611
884247878851493888,17680,65663
884162670584377345,2609,18516
883838122936631299,2980,19828
883482846933004288,8610,41572
883360690899218434,3209,20579
883117836046086144,5777,33630
882992080364220416,3376,21679
882762694511734784,4258,25629
882627270321602560,5283,25445
882268110199369728,10080,40590
882045870035918850,4235,26584
881906580714921986,2964,22122
881666595344535552,9310,46012
881633300179243008,8,113
881536004380872706,13960,44881
881268444196462592,4636,21146
880935762899988482,2438,15532
880872448815771648,3329,19336
880465832366813184,5423,25806
880221127280381952,3618,24459
880095782870896641,3789,25093
879862464715927552,3037,20343
879674319642796034,10,287
879492040517615616,2763,21360
879415818425184262,38958,95960
879376492567855104,2739,15326
879130579576475649,5962,0
879050749262655488,4120,20485
879008229531029506,2339,17291
878776093423087618,3591,17649
878604707211726852,6178,27304
878404777348136964,1115,0
878316110768087041,5779,0
878281511006478336,1115,7017
878057613040115712,5962,38288
877736472329191424,16531,71815
877611172832227328,71,0
877556246731214848,3313,20626
877316821321428993,4556,24965
877201837425926144,4854,24633
876838120628539392,2920,18823
876537666061221889,4123,21657
876484053909872640,2074,17095
876120275196170240,4077,25497
875747767867523072,3746,22885
875144289856114688,4296,19984
875097192612077568,5341,25024
875021211251597312,4143,23276
874680097055178752,4075,25371
